date,CAD,USD,EUR,GBP
2017-01-03,50.89,68.37,71.11,83.76
2017-01-04,51.05,67.97,71.11,83.6
2017-01-05,51.18,67.78,71.69,83.93
2017-01-06,51.49,68.04,71.85,83.81
2017-01-09,51.49,68.18,71.92,82.82
2017-01-10,51.65,68.25,72.16,83.03
2017-01-11,51.71,68.51,71.95,83.02
2017-01-12,51.87,67.98,72.44,83.11
2017-01-13,51.89,68.19,72.48,83.01
2017-01-16,51.76,68.07,72.2,82.12
2017-01-17,52.03,67.93,72.68,84.08
2017-01-18,51.76,67.8,72.73,83.81
2017-01-19,51.15,68.05,72.42,83.88
2017-01-20,51.05,68.18,72.7,83.99
2017-01-23,51.26,68.12,73.12,85.0
2017-01-24,51.71,68.12,73.2,85.13
2017-01-25,52.0,68.06,73.07,85.78
2017-01-26,52.0,68.14,72.81,85.76
2017-01-27,51.87,68.07,72.8,85.42
2017-01-30,51.73,67.84,72.44,84.78
2017-01-31,51.84,67.55,72.85,84.8
2017-02-01,51.57,67.43,72.54,85.26
2017-02-02,51.63,67.2,72.53,84.3
2017-02-03,51.63,67.2,72.39,83.96
2017-02-06,51.31,67.21,72.14,83.74
2017-02-07,51.15,67.35,71.98,83.89
2017-02-08,50.97,67.06,71.68,83.99
2017-02-09,50.84,66.74,71.19,83.6
2017-02-10,51.1,66.86,71.08,83.43
2017-02-13,51.2,66.98,71.04,83.8
2017-02-14,51.15,66.85,70.75,83.35
2017-02-15,51.1,66.88,70.74,83.19
2017-02-16,51.36,67.05,71.48,83.74
2017-02-17,51.2,67.09,71.29,83.37
2017-02-21,50.94,66.98,70.61,83.4
2017-02-22,50.81,66.98,70.59,83.39
2017-02-23,50.86,66.68,70.53,83.55
2017-02-24,50.92,66.68,70.53,83.28
2017-02-27,50.84,66.69,70.7,82.99
2017-02-28,50.33,66.68,70.71,82.83
2017-03-01,50.13,66.86,70.54,82.28
2017-03-02,49.9,66.8,70.2,81.96
2017-03-03,49.83,66.79,70.6,81.85
2017-03-06,49.73,66.65,70.59,81.64
2017-03-07,49.65,66.62,70.43,81.26
2017-03-08,49.55,66.77,70.44,81.22
2017-03-09,49.33,66.67,70.55,81.14
2017-03-10,49.46,66.59,70.98,81.01
2017-03-13,49.21,66.18,70.57,80.93
2017-03-14,48.78,65.78,69.91,79.94
2017-03-15,48.88,65.63,69.85,80.22
2017-03-16,49.09,65.39,70.17,80.8
2017-03-17,49.07,65.44,70.31,81.01
2017-03-20,48.92,65.35,70.23,80.82
2017-03-21,49.04,65.31,70.59,81.46
2017-03-22,49.0,65.46,70.72,81.6
2017-03-23,49.09,65.47,70.6,81.93
2017-03-24,48.9,65.4,70.65,81.67
2017-03-27,48.61,65.01,70.72,81.78
2017-03-28,48.64,65.05,70.53,81.34
2017-03-29,48.54,64.87,69.78,80.59
2017-03-30,48.76,64.87,69.5,80.97
2017-03-31,48.73,64.86,69.31,81.14
2017-04-03,48.57,65.0,69.32,81.15
2017-04-04,48.47,65.08,69.37,80.97
2017-04-05,48.38,64.87,69.16,80.95
2017-04-06,48.12,64.57,68.78,80.54
2017-04-07,47.98,64.28,68.19,79.65
2017-04-10,48.38,64.58,68.43,80.17
2017-04-11,48.4,64.53,68.48,80.46
2017-04-12,48.64,64.69,68.63,80.87
2017-04-13,48.54,64.44,68.46,80.67
2017-04-17,48.57,64.54,68.75,81.16
2017-04-18,48.29,64.59,69.15,82.5
2017-04-19,48.01,64.62,69.24,82.75
2017-04-20,47.94,64.63,69.44,82.82
2017-04-21,47.87,64.65,69.16,82.7
2017-04-24,47.8,64.49,70.02,82.46
2017-04-25,47.33,64.33,70.27,82.51
2017-04-26,47.17,64.12,69.8,82.29
2017-04-27,47.06,64.11,69.73,82.69
2017-04-28,47.06,64.29,70.1,83.2
2017-05-01,47.06,64.28,70.13,83.03
2017-05-02,46.77,64.17,70.02,82.92
2017-05-03,46.79,64.17,70.02,82.83
2017-05-04,46.73,64.22,70.36,82.91
2017-05-05,46.9,64.32,70.65,83.33
2017-05-08,46.95,64.34,70.35,83.28
2017-05-09,47.1,64.66,70.37,83.61
2017-05-10,47.21,64.55,70.16,83.53
2017-05-11,46.99,64.41,69.98,82.95
2017-05-12,46.84,64.23,70.13,82.72
2017-05-15,46.95,64.04,70.3,82.66
2017-05-16,47.1,64.04,70.95,82.67
2017-05-17,47.1,64.13,71.41,83.08
2017-05-18,47.66,64.88,72.11,84.26
2017-05-19,47.66,64.56,72.27,84.08
2017-05-23,48.08,64.86,72.69,84.19
2017-05-24,48.1,64.74,72.45,83.83
2017-05-25,47.98,64.55,72.37,83.6
2017-05-26,47.94,64.51,72.09,82.6
2017-05-29,48.01,64.55,72.14,82.89
2017-05-30,48.01,64.66,72.29,83.14
2017-05-31,47.78,64.5,72.45,83.07
2017-06-01,47.73,64.44,72.27,83.02
2017-06-02,47.71,64.43,72.6,82.97
2017-06-05,47.73,64.36,72.42,83.13
2017-06-06,47.87,64.44,72.62,83.07
2017-06-07,47.73,64.4,72.45,83.35
2017-06-08,47.57,64.24,72.05,83.08
2017-06-09,47.76,64.25,71.88,81.79
2017-06-12,48.08,64.5,72.27,81.64
